profile_pic,username_digit_ratio,description_length,private,posts_count,followers_count,follows_count,fake,source_dataset
1,0.0,0,1,0,25,1937,1,instafake
1,0.26666666666666666,0,0,0,324,4122,1,instafake
0,0.25,0,0,0,15,399,1,instafake
1,0.1,0,0,1,14,107,1,instafake
1,0.0,0,0,0,264,4651,1,instafake
1,0.3076923076923077,0,1,2,33,1470,1,instafake
1,0.0,30,0,8,420,4883,1,instafake
1,0.0,0,0,396,442,6662,1,instafake
1,0.2,0,0,85,816,7497,1,instafake
1,0.375,1,1,0,150,6631,1,instafake
1,0.14285714285714285,0,1,1,235,7202,1,instafake
1,0.42857142857142855,0,0,1,99,1358,1,instafake
0,0.0,0,1,0,59,6603,1,instafake
1,0.0,0,0,1,4,179,1,instafake
0,0.1,58,0,0,39,1022,1,instafake
0,0.0,0,0,0,8,23,1,instafake
0,0.0,26,0,2,622,364,1,instafake
0,0.0,0,0,0,37,207,1,instafake
0,0.0,34,0,0,66,244,1,instafake
1,0.2,0,0,1,32,4,1,instafake
1,0.4,0,1,0,27,354,1,instafake
0,0.2727272727272727,0,0,0,47,106,1,instafake
0,0.25,0,1,0,25,136,1,instafake
0,0.0,0,1,1,5,243,1,instafake
0,0.4444444444444444,0,1,0,0,848,1,instafake
1,0.05,111,0,1,232,6013,1,instafake
1,0.0,11,0,0,534,539,1,instafake
0,0.0,0,0,0,1,8,1,instafake
1,0.0,0,1,0,0,126,1,instafake
1,0.4,0,0,0,5,77,1,instafake
0,0.6363636363636364,0,1,0,0,6,1,instafake
1,0.0,16,1,1,80,1844,1,instafake
1,0.0,53,0,0,87,851,1,instafake
1,0.0,89,0,2,29,1603,1,instafake
1,0.4,0,0,3,247,1749,1,instafake
0,0.0,0,1,0,290,2269,1,instafake
1,0.0,16,1,1,12,2721,1,instafake
0,0.16666666666666666,0,0,0,46,2521,1,instafake
0,0.09090909090909091,13,1,0,2,1973,1,instafake
1,0.0,0,0,0,8,1359,1,instafake
0,0.15384615384615385,10,1,6,36,2004,1,instafake
1,0.3333333333333333,8,0,1,37,1982,1,instafake
1,0.4,0,0,0,61,992,1,instafake
1,0.0,17,0,0,105,6802,1,instafake
0,0.0,20,1,0,607,7455,1,instafake
1,0.4444444444444444,0,1,0,14,1725,1,instafake
0,0.1111111111111111,0,0,1,69,3577,1,instafake
0,0.0,0,0,0,26,1919,1,instafake
1,0.23076923076923078,0,0,1,12,1710,1,instafake
0,0.3333333333333333,0,0,0,12,1377,1,instafake
1,0.15384615384615385,50,1,0,51,3241,1,instafake
1,0.2857142857142857,0,1,0,8,1709,1,instafake
1,0.0,27,0,0,514,1999,1,instafake
0,0.0,53,0,0,104,1423,1,instafake
1,0.16666666666666666,0,1,0,83,2012,1,instafake
1,0.14285714285714285,9,1,0,69,1374,1,instafake
1,0.18181818181818182,0,0,5,282,2517,1,instafake
1,0.23529411764705882,23,0,1,49,2499,1,instafake
1,0.14285714285714285,0,0,0,14,3359,1,instafake
0,0.0,0,0,0,49,2987,1,instafake
0,0.09090909090909091,0,0,0,20,3543,1,instafake
1,0.4444444444444444,0,0,0,63,2318,1,instafake
1,0.0,0,0,1,5,964,1,instafake
1,0.3333333333333333,0,0,0,58,826,1,instafake
0,0.3333333333333333,0,1,0,110,1612,1,instafake
1,0.1,0,0,1,21,946,1,instafake
1,0.0,0,0,1,15,659,1,instafake
1,0.23076923076923078,0,0,0,2,757,1,instafake
1,0.16666666666666666,15,1,0,125,1396,1,instafake
1,0.0,0,0,1,14,3086,1,instafake
1,0.14285714285714285,0,0,0,4,883,1,instafake
1,0.2222222222222222,37,1,0,11,1898,1,instafake
0,0.3333333333333333,0,0,0,3208,1911,1,instafake
1,0.0,0,1,1,0,2513,1,instafake
1,0.0,85,1,0,124,1411,1,instafake
0,0.2222222222222222,0,1,0,441,2772,1,instafake
0,0.2857142857142857,0,0,0,10,1768,1,instafake
0,0.0,0,1,4,14,1229,1,instafake
0,0.0,0,0,0,16,2473,1,instafake
0,0.2222222222222222,0,1,0,22,2666,1,instafake
1,0.4444444444444444,0,0,1,24,2503,1,instafake
