profile_pic,username_digit_ratio,description_length,private,posts_count,followers_count,follows_count,fake,source_dataset,log_followers,log_follows,log_posts,followers_per_post,follows_to_followers,engagement_ratio,social_reach,has_no_posts,has_many_follows,has_many_followers,follow_activity_score
1,0.3333333333333333,0,0,0,58,826,1,instafake,4.07753744390572,6.717804695023691,0.0,58.0,14.0,0.0,0.0655367231638418,1,0,0,2
1,0.0,0,1,6,362,424,0,ifsg,5.8944028342648505,6.052089168924417,1.9459101490553132,51.714285714285715,1.1680440771349863,0.007623888182973317,0.4599745870393901,0,0,0,1
0,0.07,0,0,0,19,30,1,ifsg,2.995732273553991,3.4339872044851463,0.0,19.0,1.5,0.0,0.38,1,0,0,2
1,0.0,0,1,0,163,186,0,instafake,5.099866427824199,5.231108616854587,0.0,163.0,1.1341463414634145,0.0,0.4657142857142857,1,0,0,2
1,0.0666666666666666,92,0,9,0,1,1,instafake,0.0,0.6931471805599453,2.302585092994046,0.0,1.0,4.5,0.0,0,0,0,0
1,0.0,54,0,3,21,586,0,instafake,3.091042453358316,6.375024819828097,1.3862943611198906,5.25,26.636363636363637,0.004934210526315789,0.03453947368421053,0,0,0,1
1,0.0,37,0,26,616,564,0,instafake,6.424869023905388,6.336825731146441,3.295836866004329,22.814814814814813,0.9141004862236629,0.02201524132091448,0.5215918712955123,0,0,0,0
1,0.0,2,1,115,1817,758,0,instafake,7.505492274737424,6.63200177739563,4.7535901911063645,15.663793103448276,0.41694169416941695,0.044642857142857144,0.7053571428571429,0,0,1,0
1,0.0,44,1,43,487,788,0,instafake,6.1903154058531475,6.670766320845874,3.784189633918261,11.068181818181818,1.6147540983606556,0.03369905956112853,0.3816614420062696,0,0,0,1
0,0.1428571428571428,0,0,0,102,332,1,instafake,4.634728988229636,5.808142489980444,0.0,102.0,3.2233009708737863,0.0,0.23448275862068965,1,0,0,2
1,0.0,24,1,21,114,115,0,instafake,4.74493212836325,4.7535901911063645,3.091042453358316,5.181818181818182,1.0,0.09130434782608696,0.4956521739130435,0,0,0,0
1,0.5555555555555556,60,0,327,281,1342,0,instafake,5.641907070938114,7.202661196523238,5.793013608384144,0.8567073170731707,4.75886524822695,0.20135467980295566,0.1730295566502463,0,0,0,1
1,0.12,1,0,0,23,26,1,ifsg,3.1780538303479458,3.295836866004329,0.0,23.0,1.0833333333333333,0.0,0.46,1,0,0,2
0,0.33,0,0,0,77,747,1,ifsg,4.356708826689592,6.617402977974478,0.0,77.0,9.576923076923077,0.0,0.09333333333333334,1,0,0,2
1,0.0,0,1,24,327,524,0,instafake,5.793013608384144,6.263398262591624,3.2188758248682006,13.08,1.5975609756097562,0.028169014084507043,0.38380281690140844,0,0,0,1
1,0.33,36,0,111,807,675,0,ifsg,6.694562058521095,6.516193076042964,4.718498871295094,7.205357142857143,0.8353960396039604,0.07484828051247472,0.5441672285906946,0,0,0,0
1,0.33,0,0,8,88,76,1,ifsg,4.48863636973214,4.343805421853684,2.1972245773362196,9.777777777777779,0.8539325842696629,0.048484848484848485,0.5333333333333333,0,0,0,0
1,0.0,0,1,6,151,126,0,ifsg,5.0238805208462765,4.844187086458591,1.9459101490553132,21.571428571428573,0.8289473684210527,0.02158273381294964,0.5431654676258992,0,0,0,0
1,0.0,22,0,38,846,743,0,instafake,6.741700694652055,6.612041034833092,3.6635616461296463,21.692307692307693,0.8772136953955135,0.02389937106918239,0.5320754716981132,0,0,0,0
1,0.05,111,0,1,232,6013,1,instafake,5.4510384535657,8.701845363548474,0.6931471805599453,116.0,25.8068669527897,0.0001601024655779699,0.03714377201408902,0,1,0,2
0,0.25,0,0,0,3003,825,1,ifsg,8.007700012884026,6.716594773520978,0.0,3003.0,0.27463382157123833,0.0,0.7842778793418648,1,0,1,1
1,0.0,29,1,10,371,370,0,instafake,5.918893854273146,5.916202062607435,2.3978952727983707,33.72727272727273,0.9946236559139785,0.013477088948787063,0.5,0,0,0,0
0,0.0,0,0,11,42,26,1,ifsg,3.7612001156935624,3.295836866004329,2.4849066497880004,3.5,0.6046511627906976,0.15942028985507245,0.6086956521739131,0,0,0,0
1,0.1818181818181818,0,0,9,207,553,0,instafake,5.337538079701318,6.317164686747284,2.302585092994046,20.7,2.6586538461538463,0.011826544021024968,0.2720105124835742,0,0,0,1
1,0.0,59,1,49,1068,1925,0,ifsg,6.974478911025045,7.563200592358071,3.912023005428146,21.36,1.8007483629560337,0.016366065464261857,0.35671342685370744,0,1,1,2
