text,category,label,source
Wisconsins technical college graduates have a higher employment rate and starting salaries than four-year college graduates nationwide.,political_propaganda,1,LIAR_valid
"Under Scott Walker, Wisconsin unemployments up from 4.8% to 6.2%",political_propaganda,1,LIAR_train
About half the people who would qualify for Medicaid expansion in Florida can buy a health care plan for $30 a month on the federal health care exchange.,political_propaganda,0,LIAR_train
"Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.",political_propaganda,1,LIAR_train
You can absolutely get a gun if you have several felonies as long as you buy it on the Internet or at a gun show.,political_propaganda,0,LIAR_train
Congress will begin its recess without having allocated one penny to fight Zika.,political_propaganda,0,LIAR_valid
"82,000 Health Care Workers Volunteer for New York. april 3 2020 -- at least 82,000 health care workers have volunteered so far to bolster new york 's fight against the new coronavirus. health officials said the respondents to the state 's call for a reserve force of medical workers include recent retirees health care professionals who can take time from their regular jobs and people between jobs the associated press reported. they 've signed up even though they face a difficult and dangerous situation. whatever it is that they need i 'm wil",health_misinformation,0,CoAID_News
“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker and did.”. we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter,health_misinformation,1,CoAID_News
22 veterans take their own lives each day.,political_propaganda,0,LIAR_train
Says President Obama has fired more cruise missiles than all other Peace Prize winners combined.,political_propaganda,0,LIAR_train
Some are lasting as much as 2 hours. You might get lucky.,financial_scam,0,SMSSpam
Men like shorter ladies. Gaze up into his eyes.,financial_scam,0,SMSSpam
"If someone is in a room that has measles and leaves and you walk in two hours later, you could get measles from that person.",political_propaganda,0,LIAR_train
On support for a military strike on Syria,political_propaganda,0,LIAR_train
COVID-19-Associated Hospitalizations Among Health Care Personnel - COVID-NET. during march 1may 31 2020 hcp accounted for approximately 6 of adults hospitalized with covid-19 for whom hcp status was documented in covid net. median age of hospitalized hcp 49 years was substantially lower than that previously reported for hospitalized adults 62 years 3. more than two thirds 67.4 of hcp hospitalized with covid-19 were generally expected to have direct patient contact and over one third 36.3 were in nursing related occupations. similar to proportion o,health_misinformation,0,CoAID_News
Manage Risk to Stay Safe for COVID Thanksgiving. this website is using security service to protect itself from online attacks,health_misinformation,0,CoAID_News
Contact Tracing. this page may be updated as new resources become available. virtual coaching and mentoring are suggested to provide opportunities for continuous quality improvement of contact tracing encounters. listening in on calls for quality using a rubric to documents contact tracers competencies and areas for improvement follow up discussion between supervisors and contact tracers on methods to improve the quality of the contact tracing experience,health_misinformation,0,CoAID_News
"A mailer from the Obama campaign ""accurately indicates"" that Hillary Clinton would ""force uninsured people to buy insurance, even if they can't afford it.""",political_propaganda,0,LIAR_test
The new health care law crushes small businesses with billions in penalties.,political_propaganda,1,LIAR_train
Another great endorsement! Barrow Journal explains the difference between me and Jody Hice.,political_propaganda,0,LIAR_train
"COVID-19: China’s early travel ban may have averted 700,000 cases. a new report assessing the effectiveness of chinas emergency response during the early stages of the covid-19 outbreak suggests that measures such as the travel ban may have prevented more than 700,000 cases outside wuhan. chinas response measures during the early stages of the covid-19 outbreak may have prevented hundreds of thousands of new cases. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronaviru",health_misinformation,0,CoAID_News
Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,financial_scam,0,SMSSpam
Thousands of Westerners and Americans are fighting with extremists in eastern Syria and Iraq.,political_propaganda,0,LIAR_train
"The Democratic health care bill will ""collect higher taxes for 10 years and provide health care for only six years.""",political_propaganda,0,LIAR_train
"You have to be a citizen to vote, but with same-day voter registration, you have places where people just walk in and vote.",political_propaganda,1,LIAR_train
We didnt go out and take information from the Hillary Clinton campaign.,political_propaganda,1,LIAR_train
"Says Russ Feingold supported a stimulus plan that allowed a company to create 3,000 jobs in China.",political_propaganda,1,LIAR_train
Only about 6.8 percent of the (stimulus) money has actually been spent.,political_propaganda,0,LIAR_train
F: The grade given to Florida for college affordability under Jeb Bushs leadership.,political_propaganda,0,LIAR_train
Says Terry McAuliffe opposes Virginias right-to-work law.,political_propaganda,1,LIAR_train
"Our government has now 'spent, lent, or committed' $12.8 trillion in its attempt to blunt the recession.",political_propaganda,0,LIAR_valid
Have you not finished work yet or something?,financial_scam,0,SMSSpam
Says Russ Feingold cast the deciding vote for the largest tax increase in history,political_propaganda,1,LIAR_train
"Housing prices dropped for the 30 months prior to Barack Obama taking office, and they have stabilized, theyve been about flat since the president came in.",political_propaganda,0,LIAR_train
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,financial_scam,0,SMSSpam
The poverty rate amongst women is the worst its been in 17 years and the extreme poverty rate is the worst its ever been.,political_propaganda,0,LIAR_test
"U.S. Government to Increase PPE Shipments to Nursing Homes. may 1 2020 today in the world of coronavirus news ... the federal government will increase inspections and shipments of equipment to nursing homes which have been hotbeds of coronavirus cases according to a news release on the white house website. fema will start sending supplemental shipments of personal protective equipment to all 15,400 medicaid and medicare certified nursing homes in the us the release said and the centers for medicare medicaid services will provide 81 million to",health_misinformation,0,CoAID_News
Says abill he vetoed to give driver licenses to certain immigrants known as Dreamers would havechanged nothing.,political_propaganda,0,LIAR_train
Says Florida rubber-stamped phony horse racing.,political_propaganda,0,LIAR_train
No current and food here. I am alone also,financial_scam,0,SMSSpam
How People at Higher Risk from COVID-19 Can Enjoy Summer Safely. health experts say those who are at high risk for serious illness from covid-19 can still go out and enjoy outdoors but should avoid congregating in settings where there are large groups of people. getty images pandemic has put damper on many summer plans. this is especially true for many who find themselves at high risk for serious complications if they develop covid-19 such as older people and those with compromised immune systems or conditions like heart disease. health exp,health_misinformation,0,CoAID_News
"CVS Hiring 15,000 Workers for COVID-19, Flu Season. this website is using security service to protect itself from online attacks",health_misinformation,0,CoAID_News
"When it comes to the state deficit, Wisconsin is proportionally in as much trouble as the State of California.",political_propaganda,0,LIAR_train
"One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids dont graduate.",political_propaganda,0,LIAR_train
More than 3 million young adults ... have gained insurance under (the Affordable Care Act) by staying on their familys plan.,political_propaganda,0,LIAR_train
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That &lt;#&gt; dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,financial_scam,0,SMSSpam
Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.,political_propaganda,0,LIAR_train
Figures for September 2014s job growth in Wisconsin mark the largest private-sector job creation weve had in the month of September in more than a decade,political_propaganda,0,LIAR_train
Knopp says he upheld a campaign promise not to join the Public Employees Retirement System (PERS).,political_propaganda,0,LIAR_train
Seroprevalence Surveys in Special Populations. cdc is learning more about how people in special populations like healthcare workers and first responders have been infected with sars cov-2 virus that causes covid-19. this information is being collected through seroprevalence surveys which use serological blood tests to find out if people in population or community have antibodies to infections in this case sars cov-2. antibodies are proteins that can fight off infections. if antibodies are found that means there has been previo,health_misinformation,0,CoAID_News
Common FDA-Approved Drug May Effectively Neutralize Virus That Causes COVID-19,health_misinformation,0,CoAID_News
"Mitt Romneys and Bain Capitals profits from KB Toys, which later went out of business, were described by the Boston Herald as disgusting.",political_propaganda,1,LIAR_train
"ÒCocaine kills coronavirus, scientists are shocked to discover that this drug can fight the virus.Ó",health_misinformation,1,CoAID_News
LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,financial_scam,1,SMSSpam
"COVID-19: Striking Uptick in Anxiety, Other Psych Meds. what your doctor is reading on medscape.com april 17 2020 -- the psychological physical and financial aspects of the ongoing covid-19 pandemic are having a significant negative impact on americans mental health new research shows. an analysis from pharmacy benefit manager express scripts shows that the number of weekly prescriptions for antidepressant antianxiety and anti insomnia medications jumped 21 between february 15 and march 15 peaking during the week ending march 15 when the",health_misinformation,0,CoAID_News
Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,financial_scam,0,SMSSpam
Hydroxychloroquine: Possible COVID Drug Can Be Toxic to Retinas. as we await evidence from multiple ongoing trials of hydroxychloroquine hcq for the treatment of covid-19 clinicians have had to make do with conflicting reports regarding its potential efficacy. although hcq is one of the safest drugs used for chronic rheumatic and autoimmune disorders the current lack of a consensus regarding its optimal dosage for covid-19 has also made it difficult to quantify the risk for adverse effects. there is an existing body of knowledge around the potential toxic,health_misinformation,0,CoAID_News
Giant companies like Toyota will not locate in a state that has not passed a right-to-work law,political_propaganda,1,LIAR_test
How much u trying to get?,financial_scam,0,SMSSpam
What It’s Like to Have a ‘Mild’ Case of COVID-19. covid-19 symptoms can vary widely in different people ranging from deadly pneumonia to loss of smell or even no symptoms. many people report mild symptoms initially before more severe fever and coughing. while 80 percent of cases are estimated to be mild they can still take severe toll. majority of people with covid-19 are expected to have relatively mild symptoms that resolve at home. while majority of covid-19 cases are mild even asymptomatic and mild infections can be,health_misinformation,0,CoAID_News
Haha... Hope ü can hear the receipt sound... Gd luck!,financial_scam,0,SMSSpam
"Probably, want to pick up more?",financial_scam,0,SMSSpam
Says he restored prayer and the pledge in our schools.,political_propaganda,0,LIAR_train
"No I'm good for the movie, is it ok if I leave in an hourish?",financial_scam,0,SMSSpam
"In the state of Indiana, Ive signed more than $3.5 billion in tax relief.",political_propaganda,0,LIAR_train
COVID-19 and Seasonal Allergies FAQs,health_misinformation,0,CoAID_News
"A couple retiring today will pay about $119,000 in lifetime Medicare taxes and receive about $357,000 in lifetime Medicare benefits. ... about 3 bucks in benefits for every dollar in taxes.",political_propaganda,0,LIAR_train
When you are big..| God will bring success.,financial_scam,0,SMSSpam
"Likens Obamas predicament to 1982, saying, when Reagan just started out, (unemployment was at) exactly the same point. He was two years into his term. The unemployment was well over 10 percent, and it did come out of it.",political_propaganda,0,LIAR_train
"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",political_propaganda,0,LIAR_test
"ÒShands Hospital of Gainesville, Florida, has confirmed its first case of coronavirus.Ó",health_misinformation,1,CoAID_News
How COVID-19 affects domestic violence rates. when it comes to domestic violence researchers and nongovernmental organizations are urging governments to look to previous health crises for examples of what to do and avoid in their covid-19 responses. in a new bioethics report titled lessons never learned crisis and genderbased violence lead author neetu john an assistant professor of population and family health at columbia university and her co authors draw parallels between covid-19 and previous epidemics. they show that the 2014,health_misinformation,0,CoAID_News
"Since February 2009, our economy has lost roughly 3 million private sector jobs while the federal government has grown by more than 400,000 jobs.",political_propaganda,0,LIAR_train
Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,financial_scam,0,SMSSpam
"Says potential Democratic opponent Mary Burke implemented the policies of Jim Doyle. Those are the policies that, in his last term, saw the state lose more than 133,000 jobs.",political_propaganda,1,LIAR_train
The United States had allies lined up for air strikes in Syria and then Obama pulled the rug out.,political_propaganda,0,LIAR_train
I anything lor.,financial_scam,0,SMSSpam
"The average (public school) teacher in Wisconsins making $89,000 a year in salary and benefits.",political_propaganda,1,LIAR_train
Says North Carolina Rep. Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants.,political_propaganda,0,LIAR_train
Neutralizing Antibodies Isolated from COVID-19 Patients May Suppress Virus,health_misinformation,0,CoAID_News
Says he followed state law and the precedent of other Massachusetts governors when he erased electronic communications as he left office.,political_propaganda,0,LIAR_train
People Caring for Grandchildren Face High Risks During COVID-19 Pandemic. adults caring for grandchildren can face difficult choices amid covid-19 pandemic. getty images older adults caring for grandchildren may face high risks during covid-19 pandemic. more than 2.7 million grandparents in united states are raising their grandchildren. these families may face difficult choices about whether or not its safe to send children to school or daycare. all data and statistics are based on publicly available data at time of publication. some information,health_misinformation,0,CoAID_News
The financial regulatory bill will kill jobs.,political_propaganda,1,LIAR_train
Data shows a massive release of sulfur dioxide gas near Wuhan,health_misinformation,1,CoAID_News
The U.S. has 47 million people on food stamps. Thats 14 million more than when the current occupant of the White House took over.,political_propaganda,0,LIAR_train
No probably &lt;#&gt; %.,financial_scam,0,SMSSpam
Illuminati controlled U.S. government; coronavirus caused by 5G,health_misinformation,1,CoAID_News
Theres a 1.5 percent to 2 percent overhead in Medicare. The insurance companies have a 20 percent to 30 percent overhead.,political_propaganda,0,LIAR_train
"She created the Waste, Fraud and Mismanagement Hotline.... (that) has saved Wisconsin taxpayers hundreds of thousands of dollars.",political_propaganda,0,LIAR_train
"I noe la... U wana pei bf oso rite... K lor, other days den...",financial_scam,0,SMSSpam
"In 2012, the state put together a list of over 100,000 people that they thought were ineligible to vote. Came out there were less than 10.",political_propaganda,1,LIAR_train
Says four-year terms for City Council members are the norm in most cities of our size.,political_propaganda,0,LIAR_train
Walmart Amazon Kroger Target and Costco “have not had any reported (coronavirus) cases in the news.”. see more of scott sciarra on facebook,health_misinformation,1,CoAID_News
Scientists claim the Wuhan coronavirus is an HIV-1 engineered Òsuper weapon.Ó,health_misinformation,1,CoAID_News
"Racial and Ethnic Disparities Among COVID-19 Cases in Workplace Outbreaks by Industry Sector - Utah, March 6-June 5, 2020. on august 17 2020 this report was posted online as mmwr early release. improved understanding of overall distribution of workplace coronavirus disease 2019 covid-19 outbreaks by industry sector could help direct targeted public health action however this has not been described. utah department of health udoh analyzed covid-19 surveillance data to describe workplace outbreaks by industry sectors. in this report workplaces refer to nonhealth care noncongregateliving and no",health_misinformation,0,CoAID_News
“All Missouri businesses can open Monday May 4 under our new Order as long as new guidelines are followed.”. during todays covid-19 briefing governor mike parson announced the first phase of the show me strong recovery plan outlining how missouri will gradually begin to reopen economic and social activity on monday may 4 2020. governor parson was joined by missouri hospital association president and ceo herb kuhn mo healthnet director todd richardson missouri department of economic development director rob dixon missouri department of health and senior services dhss director dr. randall w,health_misinformation,1,CoAID_News
Says Gov. Scott Walkers budget includes tax breaks for corporations and the rich that will cost the state of Wisconsin taxpayers $2.3 billion over the next decade.,political_propaganda,0,LIAR_valid
I.ll give her once i have it. Plus she said grinule greet you whenever we speak,financial_scam,0,SMSSpam
"There are no rules governing the 2016 Republican convention, the rules have not been set.",political_propaganda,0,LIAR_valid
Go chase after her and run her over while she's crossing the street,financial_scam,0,SMSSpam
Guess who spent all last night phasing in and out of the fourth dimension,financial_scam,0,SMSSpam
I didnt get anything da,financial_scam,0,SMSSpam
